"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
6.77845845826926,9.85980547201303,85.39262603176,2.35249374542842e-111,5.02445614148603e-107,240.515983199051,"PI3"
7.60547018345933,9.83025747171541,84.3692592828579,1.01132715893906e-110,1.07999627303102e-106,239.179015000231,"DEFB4A"
5.89365428327409,8.6792630706483,63.8096431659065,3.89863878735467e-96,2.77557090734403e-92,207.707657563327,"AKR1B10"
3.76863203984636,7.00999168046559,58.8745601845417,5.69830168344624e-92,3.04260818387612e-88,198.52662733252,"S100A7A"
5.21339288018678,9.19595700324647,49.0559592824171,1.27506597015521e-82,5.44657179811499e-79,177.687195909522,"IL36G"
7.23787873943269,9.75643895529433,47.641069944299,3.90340708428351e-81,1.38948280843545e-77,174.350885328047,"SERPINB4"
5.13767636695614,11.4814314153057,47.5040023855131,5.46378581082172e-81,1.66707910496472e-77,174.022644280946,"SPRR2D"
5.21846905760464,8.97476110568658,47.1048600510934,1.46202970394169e-80,3.90325380209833e-77,173.061622601896,"GPR15LG"
5.84602473274215,7.52949400227248,46.2793739364342,1.14656720929208e-79,2.72093138400669e-76,171.049232364012,"S100A12"
5.64660245541789,10.459240397625,41.1678357795927,8.60951219804821e-74,1.83881961525914e-70,157.783546326479,"SERPINB3"
6.29368746125299,8.51369588324776,40.455746484373,6.36083781535156e-73,1.23504340054799e-69,155.816386541202,"TCN1"
2.72314548590711,6.96663772581565,40.2817695494913,1.04163874568471e-72,1.85394336086116e-69,155.331010388697,"KYNU"
4.62130258108687,11.1296360438395,39.6223023646128,6.86985320891787e-72,1.12866403720052e-68,153.473861007998,"LCE3D"
5.97458879317089,11.3805983253346,39.0056493721955,4.10790181530373e-71,6.26689764080407e-68,151.712040505975,"S100A9"
5.73269427186743,7.24173253490673,37.3358573278272,5.89270935232759e-69,8.39043242313418e-66,146.81416700852,"SPRR2C"
2.81442242557857,11.5423682203436,36.1237562457833,2.43903776464357e-67,3.25581053607858e-64,143.137089163947,"GJB2"
2.40289646937699,10.3246143994219,35.6187197797539,1.18647149335903e-66,1.49062695030366e-63,141.573419623774,"PDZK1IP1"
4.11325233197172,11.35888304999,33.6039494377011,7.89229501197739e-64,9.36464649254517e-61,135.141259345581,"KRT16"
2.84216267274943,7.46497139488622,32.4304330459558,4.02777187187041e-62,4.52763955996886e-59,131.244565082785,"HPSE"
2.03795660363013,7.47175382319073,32.0915860525053,1.28038350065495e-61,1.36732154034942e-58,130.097856109292,"BMAL2"
2.7756355584987,8.45013538503415,31.4688368057421,1.10011655812204e-60,1.11887092611288e-57,127.964464329655,"RRM2"
3.97585049001124,6.53664597477528,31.3823651412257,1.48690996095005e-60,1.44351922481687e-57,127.665541667254,"ADAMDEC1"
2.03178167854743,8.26422014077446,31.0128972390116,5.42667667857315e-60,5.03925915221588e-57,126.380834750784,"MPZL2"
1.20598360792767,10.9445772850611,30.5106585516611,3.21523177847387e-59,2.86128834686021e-56,124.61472202731,"PSME2"
1.443737074953,13.1613722427756,30.3119449370072,6.54082083200603e-59,5.58795405319939e-56,123.909580323973,"FABP5"
3.00646883200675,10.9461798402815,30.1044544088053,1.37826247171889e-58,1.132189610422e-55,123.169393093565,"IFI27"
1.99596002812219,7.61949271787288,29.8436264201276,3.5372458438783e-58,2.79809247161306e-55,122.233230927543,"SERPINB13"
2.47010953981763,11.3200370029838,29.8120405705593,3.96660845776681e-58,3.02567226574941e-55,122.119429165792,"CNFN"
1.44831964998531,6.18384305041116,29.6579277079596,6.94629573511852e-58,5.11582704519522e-55,121.562817782704,"CLEC7A"
0.991296022778188,7.78528032913178,29.5775935457543,9.31055067652701e-58,6.6284913783088e-55,121.27178049564,"PLBD1"
1.80147110444921,11.0689018959391,29.4813643736849,1.3234694968157e-57,9.11827790741603e-55,120.92234881422,"CD24"
3.91507797715267,8.09273561646678,28.7463579911894,1.99926989045512e-56,1.33438769751064e-53,118.223905762878,"CHI3L2"
2.48222383906478,9.76030840181122,28.6657937025863,2.70074146261578e-56,1.74795261086509e-53,117.924923054704,"TGM1"
2.97072085427121,8.76999552252817,28.5534359553534,4.11238643101613e-56,2.58330439393066e-53,117.506881173929,"ZC3H12A"
3.88669169832338,9.10116196539447,28.3557452079715,8.64346695917823e-56,5.27449049468939e-53,116.768304986955,"RHCG"
1.15339859413899,7.61497054143922,28.2564341804584,1.25710399060167e-55,7.45811861979735e-53,116.395805825303,"SPTLC2"
1.18175890548259,11.2846180395725,28.0424963149495,2.82656806373986e-55,1.63161731636097e-52,115.589995423088,"RAB5IF"
2.05343313086319,9.36574804222891,27.9005999895631,4.84996431931384e-55,2.72593520873434e-52,115.052983931019,"TMEM45B"
0.957263871460374,6.01014340597234,27.6372343208764,1.32817653068441e-54,7.2736395749635e-52,114.050834455892,"TTC39A"
0.94637738438089,10.827664700118,27.3952359475439,3.37248777165834e-54,1.77720296783175e-51,113.123714430776,"EIF4A3"
