"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant","Direction"
2.34540774048211,8.52461688110674,11.8443954028989,3.46636397568368e-19,6.93203467857223e-15,32.7843674547534,"CFI",TRUE,"Up"
4.80174203639451,9.80665897798342,11.5924661202962,1.02570020025077e-18,1.02559763023075e-14,31.7567128698092,"FOLH1",TRUE,"Up"
4.84839415524381,9.67772284106371,11.4771880485916,1.68870636491562e-18,1.12569166285276e-14,31.2839759343929,"FOLH1B",TRUE,"Up"
-2.17856084743991,7.65107346370807,-9.72111554684474,3.8760403566129e-15,1.93782637628862e-11,23.9158723684252,"CNTFR",TRUE,"Down"
-0.723615652089237,4.61432173993935,-9.29061442293431,2.6642445521818e-14,1.01036997178454e-10,22.073063404939,"GRIK2",TRUE,"Down"
3.38773944844298,10.6403390920468,9.26183735551039,3.03141305665928e-14,1.01036997178454e-10,21.9495577442575,"LCN2",TRUE,"Up"
-0.864835546655616,5.24968064261027,-9.07156580832167,7.12256878513889e-14,2.03481615093154e-10,21.1321512744436,"KHDRBS2",TRUE,"Down"
-0.896780459941287,7.88417481065491,-8.92145590353277,1.39819159574642e-13,3.49512944146712e-10,20.4864649356922,"BMP8B",TRUE,"Down"
-2.78158597903184,7.28171576762136,-8.84083698317669,2.0088624435331e-13,4.16973632197661e-10,20.1394628632638,"CDHR1",TRUE,"Down"
0.510028816828575,10.5897310678665,8.83255393385986,2.08507666865517e-13,4.16973632197661e-10,20.1038034455778,"VCP",FALSE,"Not Sig"
-2.40658463456866,7.43558780741437,-8.77723522981581,2.67382274044e-13,4.86100974211992e-10,19.8656204618761,"PAQR5",TRUE,"Down"
-1.1558001825746,7.19245615838541,-8.75269917309421,2.98567452543439e-13,4.97562659663641e-10,19.75996174883,"FZD7",TRUE,"Down"
-1.46401436256626,7.2629033236485,-8.66367808093696,4.45528561669929e-13,6.85360013559634e-10,19.3765527611838,"PALS2",TRUE,"Down"
-0.530897902797422,6.90584991359867,-8.49251532432378,9.61812013264173e-13,1.37387976008978e-09,18.6392251029764,"ADRA1B",FALSE,"Not Sig"
-0.38094942102987,8.17917429440667,-8.46010100133249,1.11268439196541e-12,1.48343083136829e-09,18.4995915694311,"MEPCE",FALSE,"Not Sig"
-1.57331482497121,5.63276826324648,-8.41339749122929,1.37258795066197e-12,1.71556336483362e-09,18.2984130947927,"LIN7A",TRUE,"Down"
1.31198014133449,8.78655978901698,8.39368817683821,1.4997188562437e-12,1.76419868748009e-09,18.2135187390455,"NFKBIZ",TRUE,"Up"
-0.937936410923344,7.62057414057101,-8.33859566488669,1.92099827785687e-12,2.13422908669898e-09,17.9762383144527,"CLCN5",TRUE,"Down"
1.46235098957835,9.28813108669992,8.22148290492081,3.25078671975826e-12,3.42153856956451e-09,17.4719853060995,"C2",TRUE,"Up"
1.13657984614644,7.55017180755161,8.13653135313989,4.76004243734818e-12,4.75956643310445e-09,17.1063835415095,"KCNE3",TRUE,"Up"
4.48415372615966,10.3532362733813,8.10099901882688,5.58284112494025e-12,5.1463317333485e-09,16.953520355288,"DUOX2",TRUE,"Up"
1.27386942445195,7.7950865921873,8.09787934489362,5.66153105978933e-12,5.1463317333485e-09,16.9401009913501,"PLS3",TRUE,"Up"
2.88216783398943,9.88765727895319,8.06735775505214,6.49226933669105e-12,5.64488705196294e-09,16.8088272428285,"MUC1",TRUE,"Up"
-0.881028059364915,6.95158370620956,-7.95955860719938,1.05265064982073e-11,8.77121153963119e-09,16.3454360061204,"CDK20",TRUE,"Down"
0.846626877611122,7.92915310593339,7.93918286986315,1.15327210335999e-11,9.22525420919727e-09,16.257897480596,"FKBP11",TRUE,"Up"
1.41809271671197,9.85432597975407,7.88693354654609,1.45733823989266e-11,1.12091731236051e-08,16.0335041503891,"BACE2",TRUE,"Up"
-0.405321826010173,8.7602090908335,-7.86259524104512,1.62509908968624e-11,1.20365672576094e-08,15.9290213771389,"FAM168B",FALSE,"Not Sig"
1.06432156375364,5.80775948499818,7.82772569916039,1.89955105323643e-11,1.34949067857181e-08,15.7793783043803,"FBXO16",TRUE,"Up"
-0.603506874821805,6.33565455733685,-7.82107110941916,1.95695717964709e-11,1.34949067857181e-08,15.750826930032,"FOXD1",TRUE,"Down"
-1.45598436090989,7.14965009166,-7.81102741773664,2.04689198086807e-11,1.36445819444665e-08,15.7077389768626,"KCNH6",TRUE,"Down"
0.64127604008958,8.15695369054196,7.79426137206691,2.20629557034721e-11,1.4232741553485e-08,15.6358234782434,"DENND2B",TRUE,"Up"
1.25027629623175,11.3845397144855,7.77640977756606,2.38964546449692e-11,1.49337906246905e-08,15.5592681284349,"S100A11",TRUE,"Up"
0.356277474389534,8.47594798903584,7.75294030700112,2.65400280917156e-11,1.60832570235797e-08,15.458647471396,"CABIN1",FALSE,"Not Sig"
0.58864456122569,8.75944072747381,7.72290531297724,3.03525784712673e-11,1.78526724784825e-08,15.3299240269552,"UBA6",TRUE,"Up"
-0.909711436437271,7.52944949411201,-7.67831789180933,3.70415010343644e-11,2.11644553624348e-08,15.1389308621655,"FADS6",TRUE,"Down"
0.603428030740817,7.50806828416365,7.65906089550361,4.03670274496247e-11,2.18563009073208e-08,15.0564803435833,"CADPS2",TRUE,"Up"
-0.553466303679442,8.01151963157657,-7.65566024040865,4.09844691705157e-11,2.18563009073208e-08,15.0419225997945,"ZNF395",FALSE,"Not Sig"
-1.5700616458847,8.29039688526411,-7.65262063999323,4.15443171946998e-11,2.18563009073208e-08,15.0289111139744,"PFN2",TRUE,"Down"
-0.533521448166468,9.28965867731876,-7.64500729904397,4.2980255831149e-11,2.18563009073208e-08,14.9963236486622,"APPL1",FALSE,"Not Sig"
0.981473276792503,10.4888059253599,7.6411990516479,4.37169735119928e-11,2.18563009073208e-08,14.9800245873949,"TC2N",TRUE,"Up"
1.29805087095313,7.81378858754068,7.61094021614421,5.00358983894635e-11,2.41164146592064e-08,14.8505529396493,"PIK3R3",TRUE,"Up"
2.03807870639885,9.27306822102615,7.60820747210989,5.06495357379071e-11,2.41164146592064e-08,14.8388631064007,"MXRA5",TRUE,"Up"
1.33598357727965,10.1442765117083,7.5901127605609,5.49062702040699e-11,2.55352463149068e-08,14.7614725292127,"IFITM3",TRUE,"Up"
-0.470928669100876,7.97488831287822,-7.52120954784916,7.46412742357664e-11,3.39244591401558e-08,14.466989815461,"HDAC5",FALSE,"Not Sig"
-1.43090076787682,7.45710221762721,-7.49348408142556,8.4448993785351e-11,3.752913283821e-08,14.3485952732656,"FAM47E-STBD1",TRUE,"Down"
-1.12082209095492,8.16597307612576,-7.48712372750589,8.68741021494238e-11,3.7767571625743e-08,14.3214434358668,"CRIP1",TRUE,"Down"
2.68083150818035,10.43132929378,7.46895655992137,9.41896574710135e-11,4.00766972362836e-08,14.2439069384441,"NOS2",TRUE,"Up"
0.499618550858821,7.88029448465934,7.46247837016,9.69440540585429e-11,4.03893165221404e-08,14.2162647770396,"KIAA0513",FALSE,"Not Sig"
